Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Turkey,Ankara,2024,5,22.258823529411764,41.88235294117647,3.591532,1013.5882352941177,81.76470588235294
Turkey,Ankara,2024,6,30.56206896551724,27.103448275862068,3.403283931034483,1013.3448275862069,77.41379310344827
Turkey,Ankara,2024,7,30.92413793103448,28.275862068965516,3.85060551724138,1009.0,76.89655172413794
Turkey,Ankara,2024,8,31.177419354838708,24.838709677419356,3.6953700645161294,1010.2258064516129,74.83870967741936
Turkey,Ankara,2024,9,26.196666666666665,38.5,2.873171133333334,1013.9333333333333,88.0
Turkey,Ankara,2024,10,17.593548387096774,46.54838709677419,2.940883741935484,1021.7096774193549,84.19354838709677
Turkey,Ankara,2024,11,9.626666666666667,62.4,2.7703925333333337,1021.5333333333333,74.5
Turkey,Ankara,2024,12,7.232258064516128,67.93548387096774,3.3019977419354842,1019.9032258064516,70.0
Turkey,Ankara,2025,1,7.716129032258064,68.61290322580645,2.076181483870968,1023.3225806451613,75.64516129032258
Turkey,Ankara,2025,2,3.7607142857142857,54.17857142857143,3.1190725714285716,1021.4642857142857,76.96428571428571
Turkey,Ankara,2025,3,13.883870967741935,40.516129032258064,4.280500193548388,1018.9032258064516,78.38709677419355
Turkey,Ankara,2025,4,12.563333333333333,58.13333333333333,3.6898443333333337,1014.2333333333333,72.83333333333333
Turkey,Ankara,2025,5,20.032258064516128,46.61290322580645,4.147882645161292,1014.4516129032259,81.61290322580645
Turkey,Ankara,2025,6,24.563333333333333,35.766666666666666,2.666688,1017.1333333333333,90.0
Turkey,Ankara,2025,7,22.759999999999998,34.0,4.500036000000001,1016.6,92.0
